,Club,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,Draws,Points,Rank,Possession,passSuccess
0,Manchester United,28,5,86,57,1,561,213,24,14,4.0,1.0,77,9,2.0,96,13,43,0.0,143,515,731,4,275.0,848,3.0,4.0,4.0,19686,103,1968,2727,962,218,5,89,1,54.4,84.4
1,Manchester City,23,6,66,62,3,660,231,16,6,4.0,2.0,57,9,6.0,75,18,34,0.0,111,492,683,3,172.0,551,1.0,2.0,4.0,20061,161,1613,2720,860,269,9,78,2,51.8,79.0
2,Chelsea,22,7,75,51,3,626,212,7,16,9.0,3.0,64,11,3.0,80,14,39,4.0,104,504,710,4,79.0,603,2.0,1.0,2.0,18425,52,2008,2790,863,240,9,75,3,55.2,83.9
3,Arsenal,21,7,72,42,5,597,205,16,11,5.0,2.0,65,7,7.0,80,14,37,2.0,94,636,748,19,595.0,492,5.0,6.0,4.0,21110,226,1755,3079,951,260,10,73,4,54.9,85.2
4,Tottenham Hotspur,21,8,66,55,2,681,241,17,6,4.0,2.0,50,16,5.0,77,9,46,0.0,90,721,745,8,0.0,870,3.0,6.0,2.0,16647,101,2028,2542,884,262,9,72,5,46.3,77.7
5,Everton,16,7,55,59,3,633,207,21,13,2.0,1.0,44,11,4.0,100,11,40,1.0,126,592,720,7,146.0,677,1.0,2.0,3.0,15829,54,2055,2271,989,257,15,63,6,52.8,82.5
6,Liverpool,16,9,71,54,2,739,232,19,9,5.0,3.0,59,12,1.0,110,16,43,2.0,107,526,795,2,161.0,448,4.0,5.0,1.0,19802,101,2040,3004,794,284,13,61,7,56.0,84.6
7,West Bromwich Albion,14,17,53,63,4,506,170,15,13,1.0,0.0,46,7,2.0,100,8,57,0.0,158,377,698,1,0.0,670,0.0,2.0,6.0,14359,30,1888,2123,778,202,7,49,8,52.9,82.1
8,Swansea City,11,14,47,58,2,504,167,11,7,5.0,2.0,41,6,6.0,87,10,51,0.0,157,697,686,2,300.0,695,1.0,3.0,5.0,19943,79,2024,3599,790,193,13,46,9,44.4,69.9
9,West Ham United,12,16,45,74,1,492,158,9,9,0.0,0.0,38,7,3.0,82,11,53,0.0,166,459,728,4,0.0,788,0.0,7.0,0.0,12582,26,1910,2111,1014,212,10,46,10,44.4,73.0
10,Norwich City,10,14,41,60,1,413,134,7,13,1.0,4.0,36,5,3.0,97,10,58,0.0,141,540,676,4,319.0,437,5.0,3.0,4.0,13403,47,1994,2178,837,172,14,44,11,47.1,77.2
11,Fulham,11,17,50,48,3,460,160,19,10,6.0,1.0,43,7,2.0,74,8,60,9.0,161,745,680,3,155.0,669,2.0,6.0,4.0,16940,40,2131,2887,733,176,10,43,12,52.9,82.7
12,Stoke City,9,14,34,78,4,390,114,12,9,3.0,1.0,33,1,3.0,72,12,45,0.0,159,499,728,5,520.0,567,1.0,4.0,4.0,12287,32,1989,1838,855,165,15,42,13,46.9,76.2
13,Southampton,9,15,49,43,2,516,167,16,9,3.0,1.0,45,4,1.0,86,7,60,0.0,109,779,819,21,520.0,566,1.0,6.0,4.0,16810,247,1826,2578,917,209,14,41,14,44.7,75.2
14,Aston Villa,10,17,47,72,3,438,141,10,7,3.0,1.0,35,12,6.0,97,5,69,6.0,177,769,741,9,68.0,733,2.0,8.0,7.0,14247,58,1900,2236,676,177,11,41,15,56.2,85.2
15,Newcastle United,11,19,45,71,4,533,174,12,6,4.0,3.0,34,11,2.0,84,6,68,0.0,115,478,732,9,274.0,741,5.0,7.0,3.0,14599,84,2285,2364,941,203,8,41,16,49.6,81.4
16,Sunderland,9,17,41,62,3,417,139,7,2,4.0,2.0,33,8,2.0,68,11,54,0.0,178,582,784,9,584.0,607,3.0,5.0,3.0,13109,52,1952,1984,868,179,12,39,17,49.3,79.1
17,Wigan Athletic,9,20,47,66,2,500,170,7,9,0.0,0.0,42,5,0.0,83,5,73,0.0,135,692,716,3,0.0,423,0.0,0.0,0.0,17927,54,2048,2773,813,198,9,36,18,42.8,69.2
18,Reading,6,22,43,45,1,394,128,9,12,4.0,2.0,39,4,2.0,80,5,73,0.0,166,560,602,10,363.0,620,4.0,5.0,6.0,11806,38,1855,1760,1009,189,10,28,19,45.1,73.6
19,Queens Park Rangers,4,21,30,59,3,500,146,9,4,1.0,1.0,18,12,2.0,108,7,60,0.0,174,660,818,4,353.0,703,4.0,4.0,2.0,13632,50,1800,1925,683,170,13,25,20,52.2,77.3
