,Club,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,Draws,Points,Rank,Possession,passSuccess
0,Manchester City,28,5,93,51,1.0,738,250,21,10,7,1.0,73,20,2.0,85,17,29,0.0,111,631,694,6,301.0,525,2.0,3,2,20863,321,1734,2937,843,269,5,89,1,56.2,85.1
1,Manchester United,28,5,89,51,2.0,646,243,17,16,9,3.0,74,15,4.0,89,20,33,0.0,138,574,803,6,328.0,749,2.0,3,2,20184,103,2189,2765,1018,279,5,89,2,47.9,76.0
2,Arsenal,21,10,74,64,4.0,637,236,15,9,2,2.0,64,10,9.0,88,13,49,1.0,93,605,751,25,910.0,411,5.0,4,3,20594,294,1662,2754,896,262,7,70,3,55.9,84.8
3,Tottenham Hotspur,20,9,66,43,1.0,701,230,12,5,4,0.0,52,14,2.0,93,14,41,0.0,122,716,733,12,0.0,561,2.0,1,1,19564,164,2323,2944,846,279,9,69,4,49.9,79.9
4,Newcastle United,19,11,56,67,3.0,489,154,19,6,2,5.0,44,12,4.0,97,15,51,0.0,143,621,744,8,412.0,475,1.0,9,7,14638,97,2130,2384,730,171,8,65,5,45.7,72.2
5,Chelsea,18,10,65,74,4.0,671,224,20,12,4,2.0,60,5,1.0,70,10,46,0.0,111,637,698,5,158.0,477,1.0,6,4,18766,158,2021,2886,972,253,10,64,6,54.2,84.5
6,Everton,15,12,50,60,2.0,520,164,12,9,5,1.0,42,8,3.0,116,12,40,0.0,145,617,624,6,165.0,555,3.0,4,1,15063,67,2048,2108,877,180,11,56,7,49.3,81.4
7,Liverpool,14,14,47,53,5.0,667,207,33,8,1,3.0,40,7,6.0,128,12,40,0.0,108,505,728,5,255.0,365,3.0,5,4,18794,105,2257,2991,1103,309,10,52,8,45.6,73.6
8,Fulham,14,14,48,54,5.0,541,195,24,7,3,2.0,42,6,3.0,85,11,51,0.0,141,644,669,3,130.0,479,2.0,3,3,17669,64,2004,3004,649,187,10,52,9,53.6,80.7
9,West Bromwich Albion,13,17,45,48,3.0,544,167,13,9,1,0.0,35,10,1.0,128,10,52,0.0,167,556,683,6,0.0,521,1.0,9,7,14691,69,1776,2094,783,212,8,47,10,43.3,69.1
10,Swansea City,12,15,44,40,3.0,472,145,14,7,5,0.0,36,8,3.0,67,14,51,0.0,146,579,709,3,0.0,439,1.0,3,1,20795,105,2121,3726,721,201,11,47,11,47.4,75.4
11,Norwich City,12,15,52,58,9.0,514,164,7,15,2,1.0,47,5,1.0,74,3,66,0.0,157,468,692,6,451.0,767,2.0,7,5,15165,51,2430,2420,863,165,11,47,12,48.4,76.7
12,Sunderland,11,15,45,60,2.0,458,141,11,8,1,1.0,32,13,5.0,76,12,46,0.0,194,652,824,7,0.0,600,2.0,5,3,13913,45,2135,2159,864,181,12,45,13,47.5,71.1
13,Stoke City,11,15,36,60,4.0,376,94,7,14,4,2.0,33,3,1.0,62,9,53,0.0,157,461,655,4,0.0,959,2.0,7,7,10818,23,2181,1699,826,166,12,45,14,46.6,73.8
14,Wigan Athletic,11,17,42,67,4.0,519,162,13,6,5,0.0,29,13,0.0,71,8,62,0.0,129,578,729,7,0.0,413,2.0,8,4,15715,55,2154,2322,744,212,10,43,15,43.8,71.2
15,Aston Villa,7,14,37,70,2.0,438,138,9,3,3,2.0,29,8,1.0,85,9,53,5.0,176,740,774,4,5.0,682,2.0,7,6,13158,62,1980,2013,834,218,17,38,16,56.6,85.4
16,Queens Park Rangers,10,21,43,54,2.0,539,150,15,10,2,1.0,36,7,3.0,83,7,66,0.0,187,547,764,1,178.0,800,3.0,3,3,13383,42,2149,2005,796,195,7,37,17,46.7,76.2
17,Bolton Wanderers,10,22,46,50,5.0,495,163,8,7,5,2.0,40,6,2.0,55,3,77,0.0,169,694,732,9,48.0,648,1.0,3,2,13580,101,2123,1955,769,210,6,36,18,57.7,84.1
18,Blackburn Rovers,8,23,48,66,5.0,453,143,10,13,4,1.0,41,7,2.0,58,3,78,0.0,149,716,690,6,45.0,575,4.0,3,2,12424,59,2067,1934,610,166,7,31,19,55.5,84.2
19,Wolverhampton Wanderers,5,23,40,64,0.0,473,152,10,9,3,0.0,37,3,0.0,82,4,82,0.0,159,598,619,4,0.0,495,0.0,7,5,14852,30,2241,2538,999,205,10,25,20,48.2,75.6
