,Club,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,Draws,Points,Rank,Possession,passSuccess
0,Leicester City,23,3,68,48,3.0,522,179,11,11,10,1.0,65,3,5.0,50,15,36,99,166,819,869,4.0,3.0,552,1.0,4,4,13370,54,2695,1970,762,197,12,81,1,55.0,80.2
1,Arsenal,20,7,65,40,4.0,571,211,21,13,1,4.0,61,4,1.0,86,18,36,118,128,734,709,4.0,212.0,418,4.0,1,1,21249,168,1859,2946,754,227,11,71,2,44.8,70.5
2,Tottenham Hotspur,19,6,69,72,3.0,659,252,19,7,5,0.0,59,10,0.0,72,13,35,89,140,645,805,1.0,0.0,576,0.0,2,2,18649,64,2554,2708,738,254,13,70,3,42.2,70.0
3,Manchester City,19,10,71,61,1.0,615,210,15,13,5,3.0,57,14,4.0,63,16,41,86,66,630,729,4.0,0.0,513,2.0,1,1,20488,84,2082,2895,866,257,9,66,4,54.4,82.5
4,Manchester United,19,10,49,65,5.0,430,144,9,5,3,2.0,44,5,3.0,75,18,35,90,96,594,760,4.0,0.0,373,2.0,2,2,20070,43,2649,3221,786,228,9,66,5,55.9,82.3
5,Southampton,18,11,59,57,4.0,519,166,13,15,3,4.0,53,6,3.0,98,12,41,94,136,709,714,7.0,0.0,515,3.0,1,1,15913,46,2509,2385,956,220,9,63,6,43.3,71.0
6,West Ham United,16,8,65,58,0.0,558,185,19,15,4,0.0,55,10,0.0,82,11,51,111,162,668,711,0.0,0.0,568,0.0,8,6,15031,32,2568,2236,805,224,14,62,7,46.5,73.6
7,Liverpool,16,10,63,61,3.0,629,202,16,12,2,4.0,48,15,2.0,91,11,50,81,108,549,871,3.0,0.0,407,2.0,3,2,19733,75,2370,2842,780,265,12,60,8,51.5,81.4
8,Stoke City,14,15,41,51,2.0,419,128,5,9,5,0.0,33,8,2.0,103,10,55,121,149,576,710,4.0,0.0,426,2.0,5,5,16342,60,2379,2440,683,153,9,51,9,52.0,80.9
9,Chelsea,12,12,59,58,5.0,526,173,4,6,4,1.0,48,11,2.0,90,9,53,122,136,518,790,2.0,58.0,398,4.0,4,3,19664,74,2312,2933,732,240,14,50,10,55.2,83.1
10,Everton,11,13,59,44,5.0,491,175,18,10,4,1.0,53,6,1.0,55,10,55,127,160,511,730,3.0,40.0,489,1.0,6,5,17947,57,2742,2699,782,218,14,47,11,49.3,77.7
11,Swansea City,12,15,42,60,3.0,441,136,14,6,5,0.0,35,7,0.0,82,9,52,119,134,679,638,1.0,0.0,559,2.0,2,2,18169,46,2416,2796,725,163,11,47,12,47.4,76.6
12,Watford,12,17,40,73,5.0,446,140,9,5,6,0.0,37,3,0.0,52,11,50,121,111,764,794,4.0,0.0,394,0.0,8,4,14530,29,2939,2164,704,164,9,45,13,51.0,79.8
13,West Bromwich Albion,10,15,34,65,0.0,388,107,10,12,1,0.0,31,3,0.0,68,11,48,109,172,721,642,1.0,0.0,547,0.0,6,5,12262,29,2661,1638,847,188,13,43,14,47.3,77.8
14,Crystal Palace,11,18,39,60,2.0,469,153,12,7,4,1.0,33,6,6.0,81,8,51,122,176,698,649,3.0,46.0,506,1.0,4,4,13785,16,2759,2185,969,219,9,42,15,49.1,77.6
15,AFC Bournemouth,11,18,45,53,1.0,464,143,8,11,3,1.0,39,6,3.0,66,7,67,90,106,640,709,1.0,277.0,526,3.0,6,4,17270,33,2484,2541,749,221,9,42,16,56.9,84.2
16,Sunderland,9,17,48,64,1.0,439,141,10,2,3,0.0,40,8,0.0,88,7,62,156,144,571,767,2.0,0.0,616,3.0,8,7,12799,57,2635,1841,589,153,12,39,17,50.0,79.1
17,Newcastle United,9,19,44,60,3.0,397,151,6,12,3,1.0,38,6,2.0,59,8,65,115,155,646,793,3.0,0.0,486,1.0,5,4,15118,28,2578,2357,775,161,10,37,18,46.3,72.6
18,Norwich City,9,22,39,61,6.0,418,129,11,3,1,1.0,33,6,3.0,93,5,67,103,108,473,608,3.0,0.0,708,5.0,10,9,14483,17,2722,2124,818,188,7,34,19,46.8,74.4
19,Aston Villa,3,27,27,75,3.0,380,110,7,6,2,1.0,21,6,1.0,42,6,76,116,111,768,731,2.0,101.0,499,2.0,5,3,15308,12,2507,2269,796,167,8,17,20,55.3,80.5
